topic_id,topic_title,topic_url,forum_name,actual_start_date,actual_year,date_confidence,character
63335379,Il Palazzo di Cera,https://fengardgiocate.forumcommunity.net/?t=63335379,NECROMUNDA,2001-06-14,2001,high,Clelia
63335379,Il Palazzo di Cera,https://fengardgiocate.forumcommunity.net/?t=63335379,NECROMUNDA,2001-06-14,2001,high,Izayoi
23623501,"Hotel “Alla Cattedrale”, prezzi modici ..",https://fengardgiocate.forumcommunity.net/?t=23623501,FENGARD,2002-01-01,2002,low,Cornelia
23623501,"Hotel “Alla Cattedrale”, prezzi modici ..",https://fengardgiocate.forumcommunity.net/?t=23623501,FENGARD,2002-01-01,2002,low,dattina
23623501,"Hotel “Alla Cattedrale”, prezzi modici ..",https://fengardgiocate.forumcommunity.net/?t=23623501,FENGARD,2002-01-01,2002,low,Demon
23623501,"Hotel “Alla Cattedrale”, prezzi modici ..",https://fengardgiocate.forumcommunity.net/?t=23623501,FENGARD,2002-01-01,2002,low,Faelya
56613538,"La cattura di Antares, il predicatore",https://fengardgiocate.forumcommunity.net/?t=56613538,GHILEAS,2002-06-19,2002,medium,Amaranth
56613538,"La cattura di Antares, il predicatore",https://fengardgiocate.forumcommunity.net/?t=56613538,GHILEAS,2002-06-19,2002,medium,Brusjean
56613538,"La cattura di Antares, il predicatore",https://fengardgiocate.forumcommunity.net/?t=56613538,GHILEAS,2002-06-19,2002,medium,Essedil
56613538,"La cattura di Antares, il predicatore",https://fengardgiocate.forumcommunity.net/?t=56613538,GHILEAS,2002-06-19,2002,medium,Francislake
56613538,"La cattura di Antares, il predicatore",https://fengardgiocate.forumcommunity.net/?t=56613538,GHILEAS,2002-06-19,2002,medium,Khalux
56613538,"La cattura di Antares, il predicatore",https://fengardgiocate.forumcommunity.net/?t=56613538,GHILEAS,2002-06-19,2002,medium,Morgoth
23510413,“Ammissione”,https://fengardgiocate.forumcommunity.net/?t=23510413,Giocate Storiche...e... di altri Tempi (commenti),2003-01-01,2003,low,Esgaloth
23510413,“Ammissione”,https://fengardgiocate.forumcommunity.net/?t=23510413,Giocate Storiche...e... di altri Tempi (commenti),2003-01-01,2003,low,Ylerei
52970482,l'ultima sensazione...,https://fengardgiocate.forumcommunity.net/?t=52970482,FENGARD,2003-11-16,2003,high,Neolegolas
52970482,l'ultima sensazione...,https://fengardgiocate.forumcommunity.net/?t=52970482,FENGARD,2003-11-16,2003,high,Vahn
53680615,Rhyannor riporta in vita Vahn,https://fengardgiocate.forumcommunity.net/?t=53680615,GHILEAS,2003-11-16,2003,high,Rhyannor
53680615,Rhyannor riporta in vita Vahn,https://fengardgiocate.forumcommunity.net/?t=53680615,GHILEAS,2003-11-16,2003,high,Vahn
54893168,Pazzia,https://fengardgiocate.forumcommunity.net/?t=54893168,FENGARD,2003-11-19,2003,high,Cassandra
54893168,Pazzia,https://fengardgiocate.forumcommunity.net/?t=54893168,FENGARD,2003-11-19,2003,high,Vahn
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Ayla
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Cloud
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Loriel
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Manadriel
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Midhriel
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Miroth
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Oltar
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Rhoan
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Sealyan
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Sifodias
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Thorek
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Unicorn
6205390,Elezione del Governatore di Fengard: Loriel- parte prima-,https://fengardgiocate.forumcommunity.net/?t=6205390,Giocate Storiche...e... di altri Tempi (commenti),2003-12-01,2003,medium,Vosthyl
